ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
9,199,20226,8,353,492,20,64,3,1
7,220,17607,9,274,551,15,67,3,1
9,203,24678,6,335,467,13,47,4,1
4,164,23864,9,,547,14,71,3,1
8,216,21299,6,,524,14,83,5,1
7,231,9728,6,223,406,13,74,3,1
4,157,26739,5,389,389,17,64,5,1
8,186,21441,8,394,461,14,86,5,1
5,205,13891,6,,632,11,70,4,1
,205,12874,5,325,403,17,65,4,1
4,179,18682,6,331,538,14,,3,1
9,202,33654,5,331,426,19,79,5,1
6,198,21148,9,326,312,13,74,5,1
10,216,16554,8,322,454,10,58,3,1
9,230,7839,11,278,370,16,77,5,1
8,208,17249,8,286,269,12,57,3,1
9,209,32238,7,321,449,13,89,4,1
2,148,41538,8,376,428,11,65,3,1
8,214,20462,5,,338,17,59,4,1
7,178,31992,6,,342,15,64,5,1
5,174,33455,6,351,507,18,62,4,1
10,212,25190,6,317,498,20,53,5,1
,183,20049,8,330,329,12,80,4,1
6,163,26409,6,429,510,24,19,5,1
7,169,37191,4,,439,16,63,6,1
8,233,14383,8,,413,15,42,4,1
9,202,15173,7,374,315,15,77,3,1
6,193,19579,8,315,380,13,76,3,1
7,234,16067,8,224,402,15,82,5,1
6,211,19981,9,271,333,17,80,3,1
5,176,34266,6,325,442,13,,4,1
5,173,28099,6,373,506,18,67,5,1
6,216,9029,9,274,341,11,72,4,1
6,184,31156,8,357,380,10,100,3,1
,196,17749,8,,512,15,54,3,1
5,168,34769,4,377,316,10,71,4,1
8,209,29569,10,294,356,14,72,4,1
4,144,26727,6,,564,14,92,4,1
5,169,14677,8,,438,16,82,4,1
6,202,13969,7,291,475,18,78,4,1
,193,14472,6,323,431,13,93,4,1
5,170,25866,7,,350,13,65,4,1
10,220,11940,8,337,399,15,61,3,1
7,199,24389,5,289,366,18,88,3,1
,160,37796,9,390,442,16,21,4,1
5,190,21807,4,,335,15,50,5,1
4,179,28584,5,292,501,9,77,3,1
9,194,24085,6,,527,10,81,5,1
10,242,15089,9,,596,15,62,4,1
10,199,16233,8,380,345,20,73,2,1
10,218,13754,8,334,342,16,85,4,1
0,153,39029,3,284,443,13,62,4,1
6,206,15157,8,308,432,14,53,4,1
7,214,25044,6,246,506,16,92,6,1
6,190,14905,6,,447,14,68,4,1
8,211,22983,7,326,368,14,56,5,1
10,218,18159,9,350,336,19,83,5,1
5,188,11642,8,,535,8,75,4,1
9,213,14830,7,324,575,17,67,3,1
7,214,20039,8,290,605,9,58,4,1
7,194,18464,5,319,370,15,54,4,1
8,200,25047,9,351,328,19,54,3,1
6,204,11104,8,,418,17,,5,1
6,203,12230,12,324,344,15,48,4,1
7,197,13790,10,,348,18,68,4,1
7,211,11300,9,300,354,17,68,4,1
5,182,34262,6,307,439,8,,4,1
8,205,7473,7,,395,8,76,4,1
8,179,33787,9,,481,12,96,3,1
7,186,13782,5,377,324,12,66,4,1
8,186,28408,8,382,403,13,87,3,1
,211,27983,6,,437,16,65,4,1
8,192,18126,9,364,647,14,91,4,1
7,207,23643,8,294,447,6,31,3,1
,220,22387,7,317,327,13,81,5,1
6,186,23235,6,347,401,13,60,4,1
5,199,11571,6,,377,12,74,3,1
6,159,31977,5,,502,8,56,2,1
8,185,22673,6,,440,9,65,6,1
9,187,20591,4,366,384,10,67,3,1
10,221,19892,8,326,461,15,60,4,1
3,155,21840,5,,437,15,56,6,1
8,231,15064,12,,422,15,68,3,1
,205,13286,9,333,366,9,76,4,1
8,215,27032,7,283,443,13,46,4,1
8,193,21676,10,382,415,16,93,5,1
10,209,35289,8,337,462,10,51,5,1
5,185,16276,7,,395,8,89,4,1
10,233,13214,10,293,327,10,62,5,1
,159,26210,4,,355,16,85,5,1
8,207,19658,9,312,359,21,64,4,1
9,198,27884,9,,318,21,73,4,1
7,208,16690,10,286,482,10,78,3,1
11,200,13867,7,409,341,17,73,4,1
6,163,34574,6,415,298,14,77,4,1
5,179,37993,10,343,465,15,65,4,1
,177,38977,5,402,484,12,62,3,1
7,177,34596,3,370,390,17,65,4,1
7,195,15909,6,319,404,19,75,4,1
,231,12857,7,344,393,13,81,3,1
,205,27064,7,305,410,19,61,5,1
,156,28225,8,393,421,19,53,5,1
9,234,7263,7,269,259,9,42,4,1
8,183,36412,6,,414,14,57,3,1
8,199,25384,8,319,416,20,48,5,1
8,204,24173,7,306,471,19,31,5,1
5,150,27796,5,446,422,16,78,5,1
8,241,9610,10,230,429,15,40,3,1
12,228,8297,10,347,500,15,64,3,1
7,181,18223,9,405,565,15,58,2,1
5,209,21408,4,231,379,2,87,4,1
,242,9783,6,212,352,10,70,5,1
7,220,10338,10,,453,14,61,4,1
10,183,30307,6,422,573,18,46,4,1
5,171,24710,4,367,491,15,33,2,1
5,186,13653,9,,461,12,90,4,1
6,182,33047,5,362,350,8,66,5,1
4,163,25911,4,372,488,18,64,3,1
7,211,29264,6,252,392,13,77,5,1
9,226,6787,9,319,460,14,81,3,1
10,225,14694,7,301,354,14,64,5,1
9,232,7035,9,,416,12,,3,1
7,213,18452,8,294,496,11,95,4,1
9,207,23559,7,347,421,11,,3,1
9,215,20592,10,331,447,11,54,5,1
7,198,22535,9,323,353,6,83,5,1
9,211,9592,9,348,334,18,68,5,1
8,228,18365,6,247,370,15,101,5,1
8,217,14161,6,281,468,15,63,4,1
5,171,35680,5,315,502,14,57,5,1
11,207,16099,8,370,575,18,81,4,1
5,162,27216,3,373,437,15,65,3,1
10,224,29550,8,281,356,14,84,5,1
,183,19575,10,425,383,19,77,4,1
6,191,25863,5,316,370,18,49,3,1
1,133,16923,9,444,322,10,44,5,1
,235,10444,8,,320,8,81,4,1
9,219,15358,9,316,430,16,65,3,1
6,215,9364,10,273,508,13,71,5,1
6,205,7041,11,325,372,16,74,5,1
,202,23828,6,409,415,14,60,5,1
5,199,14447,8,298,469,14,95,5,1
,216,21852,7,284,365,11,77,5,1
5,178,31422,5,347,490,16,58,3,1
7,218,12286,10,,359,16,94,4,1
,176,25954,6,346,379,14,51,3,0
5,177,28399,6,336,328,18,62,2,0
5,186,27981,7,355,381,14,75,5,0
7,212,12828,7,,328,11,90,5,0
6,172,15936,5,340,435,11,58,5,0
7,167,28509,7,,461,11,73,3,0
7,165,20443,5,342,468,10,66,4,0
,192,22462,8,,350,17,77,5,0
8,228,15825,8,315,424,18,56,4,0
6,219,22096,6,,413,13,44,5,0
6,235,18607,9,302,442,14,66,4,0
7,194,34157,10,345,498,9,67,4,0
,196,24108,8,353,429,10,73,5,0
6,238,22423,9,,475,14,81,4,0
5,204,23603,8,324,289,18,86,4,0
7,183,17260,5,336,453,10,81,2,0
8,201,12642,7,334,447,15,71,4,0
7,216,24992,9,321,431,13,64,4,0
,215,12666,7,302,319,15,93,5,0
8,222,25064,9,288,505,18,68,3,0
5,201,32182,9,365,517,12,85,3,0
8,210,8712,9,355,339,19,106,3,0
4,213,30434,9,333,383,16,40,3,0
8,185,16147,7,,506,11,88,4,0
9,238,9002,10,325,381,19,98,3,0
7,242,9381,7,313,441,14,71,3,0
7,169,29370,5,,522,21,59,4,0
9,196,23728,8,349,552,15,76,4,0
9,205,16686,8,,348,19,68,3,0
7,156,30951,7,363,425,12,70,5,0
,209,20828,7,314,568,18,40,4,0
6,213,34314,9,335,313,11,71,3,0
7,192,18223,4,296,390,10,92,5,0
5,143,40829,7,,387,17,52,5,0
8,198,17469,8,370,294,18,44,5,0
5,152,37620,6,,343,14,41,4,0
8,224,20012,9,302,422,22,73,5,0
5,195,27317,6,,313,10,86,5,0
6,252,32776,8,,330,10,81,3,0
,203,28185,7,345,446,20,53,4,0
9,218,16184,7,334,389,16,47,4,0
,185,28499,7,331,382,11,62,3,0
8,216,17068,9,319,460,14,60,3,0
8,230,7325,8,332,493,14,74,4,0
8,174,15548,5,330,521,11,87,3,0
7,204,18494,6,312,438,13,31,5,0
7,170,19473,5,366,426,17,49,4,0
5,222,24212,9,308,407,13,60,4,0
,220,9841,9,310,397,12,72,3,0
4,200,25770,8,,414,11,,4,0
8,214,17675,8,,471,19,71,4,0
11,220,10572,7,296,414,15,59,4,0
7,176,21468,7,349,427,13,55,3,0
10,233,3773,10,,340,18,82,4,0
,219,9836,7,329,386,16,57,4,0
4,188,14906,8,374,519,11,65,4,0
8,176,21759,7,353,429,5,72,3,0
5,174,34094,7,377,526,17,49,5,0
6,214,14848,7,305,305,12,,3,0
7,209,29057,7,303,362,11,54,4,0
6,180,27700,6,,536,13,90,4,0
7,208,23373,6,314,498,13,75,5,0
9,200,10587,6,307,585,12,64,3,0
6,186,32241,8,348,416,15,69,4,0
5,186,27510,8,,587,10,63,4,0
6,163,23930,7,,535,19,55,4,0
11,198,12959,7,323,522,17,72,4,0
5,162,22829,4,361,542,12,,4,0
7,200,13502,8,358,618,11,72,4,0
6,168,25952,6,350,472,16,53,4,0
7,175,15341,6,371,579,12,78,5,0
8,221,28339,9,316,462,15,57,6,0
5,186,33154,9,370,297,15,48,4,0
9,196,20226,6,299,342,13,84,5,0
5,176,26422,8,367,501,8,59,3,0
4,199,36860,10,338,391,8,76,3,0
7,185,30989,9,327,326,10,53,5,0
10,182,8016,6,338,292,13,51,5,0
7,140,17570,4,,374,11,97,4,0
8,167,18136,7,,601,16,56,4,0
,191,14017,6,346,424,12,66,4,0
7,182,5690,7,374,360,20,73,3,0
6,201,33306,7,,400,14,63,4,0
8,197,19097,7,343,389,14,73,5,0
6,160,16899,6,367,451,16,62,4,0
,192,34161,9,363,475,16,51,3,0
,216,35971,10,331,558,14,82,3,0
5,220,39537,9,322,393,11,59,4,0
10,199,8108,6,332,568,16,29,5,0
7,167,18015,6,363,471,11,45,4,0
7,198,19558,8,355,380,18,66,4,0
,214,8986,7,,499,10,38,6,0
8,196,18091,7,365,369,17,,3,0
8,198,11451,5,309,401,13,81,3,0
6,190,20288,6,347,545,18,84,4,0
6,237,22052,8,306,485,17,58,4,0
7,197,22053,5,305,452,15,72,4,0
8,177,14912,6,349,355,17,42,3,0
7,190,12737,6,,480,21,77,4,0
6,212,32423,7,,446,21,52,4,0
,223,36291,9,333,374,17,65,4,0
5,197,38495,9,383,357,13,62,2,0
6,186,27365,8,,360,15,56,4,0
,216,25339,6,266,429,12,71,3,0
11,169,7066,5,,328,16,47,4,0
8,199,11346,7,305,210,18,63,4,0
9,188,17735,6,317,419,17,60,3,0
7,203,26326,8,342,381,20,58,4,0
,148,13598,6,374,358,13,73,4,0
,202,12519,8,,400,13,,4,0
5,160,39125,6,376,400,20,69,3,0
7,160,21895,4,337,483,11,79,3,0
9,205,15159,9,,417,15,69,2,0
10,204,17258,6,311,396,17,44,4,0
5,195,35217,8,335,539,10,65,3,0
10,201,17982,6,339,336,14,62,5,0
6,183,35633,6,328,354,13,71,4,0
,193,11125,5,325,333,15,79,5,0
,249,25253,9,297,483,14,69,4,0
11,209,11848,10,350,393,15,66,4,0
9,229,16765,7,321,456,13,77,4,0
,212,5700,7,333,269,18,90,2,0
7,205,20556,10,388,390,12,49,3,0
9,201,15247,6,313,522,14,70,4,0
4,150,20498,3,303,427,16,68,4,0
7,229,23114,10,321,522,13,68,5,0
6,187,44376,7,342,273,13,59,4,0
7,194,13677,5,324,478,15,,3,0
7,219,25574,9,,553,18,61,4,0
6,177,30594,4,325,525,17,84,3,0
7,190,25780,6,331,482,14,71,4,0
9,237,5231,8,,368,13,18,4,0
7,220,15773,9,320,463,17,80,4,0
7,163,17978,7,,383,18,44,4,0
6,212,35440,6,314,552,9,56,4,0
9,203,22710,6,322,496,18,76,4,0
5,209,20071,7,302,354,14,90,4,0
11,214,11298,8,300,497,18,83,3,0
8,228,8673,7,,434,11,55,4,0
6,158,20130,7,352,374,13,81,5,0
5,186,42064,7,320,312,19,71,4,0
7,189,19664,8,375,420,15,61,3,0
7,212,13912,8,345,494,15,33,5,0
7,191,15362,7,356,353,15,,3,0
8,211,27662,7,292,556,12,67,2,0
8,202,20447,6,,478,12,44,5,0
7,185,14152,6,325,337,15,50,3,0
6,225,25843,9,,385,13,85,4,0
8,205,5619,6,344,432,15,56,5,0
5,189,35086,7,341,332,13,61,5,0
,198,17439,6,,406,17,69,3,0
6,230,23037,11,316,453,14,,3,0
7,208,29918,8,,392,13,80,4,0
4,240,24070,10,338,534,12,69,5,0
8,176,9914,5,324,302,11,71,4,0
5,215,28279,10,337,375,16,62,3,0
7,195,23611,8,347,439,15,89,4,0
7,191,16246,6,324,383,8,86,2,0
8,207,13486,6,328,452,15,88,3,0
8,183,20336,6,333,475,18,50,3,0
9,193,16854,5,318,355,19,59,4,0
9,215,13969,8,323,369,19,55,4,0
5,216,30684,9,,314,11,63,4,0
8,196,24061,7,350,472,15,45,3,0
,238,26493,9,312,369,12,91,3,0
6,215,11628,7,,344,13,99,4,0
8,201,11699,7,349,421,19,53,3,0
5,200,48002,9,340,311,19,64,4,0
,191,26913,5,302,509,16,64,3,0
5,198,19900,8,349,420,15,81,3,0
5,165,29046,6,371,489,17,80,6,0
6,194,22958,7,,432,16,65,5,0
,227,39943,9,,539,14,,5,0
8,231,13533,8,314,527,19,58,4,0
7,195,20919,6,,383,10,41,5,0
8,204,8727,7,,543,15,82,3,0
7,167,24293,7,333,391,16,87,4,0
6,231,26757,9,,422,17,73,5,0
6,206,19397,8,369,480,16,57,2,0
,236,24874,9,301,479,14,47,5,0
7,182,30734,6,344,258,18,35,5,0
,211,21174,8,,573,15,90,4,0
9,213,15751,6,297,400,11,75,3,0
5,186,33897,6,317,406,20,62,5,0
8,229,21734,8,315,369,12,50,5,0
6,238,24828,8,269,483,22,79,4,0
7,178,17865,6,344,368,20,59,6,0
,235,3901,7,287,553,19,85,4,0
9,185,13284,7,349,561,14,72,3,0
,195,32981,10,,287,10,72,3,0
5,190,21280,6,327,357,12,64,4,0
9,199,14294,8,366,338,15,63,4,0
8,181,11989,5,328,618,14,39,4,0
5,233,11798,8,313,372,12,66,3,0
5,179,20162,5,305,511,13,59,4,0
,207,40711,9,320,468,15,71,5,0
8,221,16123,9,348,502,22,75,3,0
9,216,28909,7,295,511,16,80,4,0
6,219,21574,9,321,444,15,62,3,0
6,174,28392,7,355,336,17,65,3,0
5,165,27008,7,,422,14,74,4,0
,240,25960,11,,447,14,80,3,0
7,208,10513,9,,442,19,44,3,0
11,228,13124,8,319,376,8,49,4,0
7,242,17976,10,322,441,14,62,4,0
4,175,41490,6,,425,13,87,4,0
7,172,28955,6,357,531,18,79,3,0
,235,13927,9,,446,14,52,4,0
6,169,22611,5,327,549,17,52,4,0
,179,10491,8,354,368,15,57,4,0
10,231,4545,7,301,329,12,79,3,0
5,154,56868,8,,494,15,58,4,0
9,166,27752,5,372,394,14,75,4,0
8,199,18940,7,317,368,10,65,3,0
7,216,20068,10,349,332,18,84,4,0
8,213,40936,8,301,365,13,70,5,0
6,157,26220,6,380,475,17,51,4,0
10,191,8919,5,306,331,19,69,4,0
5,191,32619,8,351,436,12,108,2,0
9,148,10562,4,371,480,17,61,3,0
8,208,26489,9,318,432,10,64,5,0
7,201,25234,5,284,384,12,23,4,0
5,230,13903,10,352,442,15,,6,0
,257,8905,10,293,325,17,73,3,0
5,204,22391,8,315,399,14,83,3,0
6,235,34457,9,295,357,9,59,2,0
7,198,27430,6,304,398,19,55,3,0
7,211,14298,7,317,570,16,71,4,0
8,225,20376,8,309,382,13,79,4,0
8,204,24197,8,333,501,15,71,5,0
9,148,22175,5,369,407,16,72,5,0
8,202,25621,8,367,598,12,72,4,0
9,222,22829,8,293,559,15,45,4,0
9,208,13292,9,358,469,16,107,4,0
6,182,23926,6,365,568,8,58,5,0
,205,20114,7,317,559,24,68,4,0
8,167,17945,4,332,363,13,56,5,0
8,239,18136,11,352,515,9,56,3,0
8,193,15704,8,324,302,13,89,3,0
8,197,27080,7,345,329,9,60,2,0
7,219,16477,7,300,412,17,41,5,0
,182,30647,6,295,404,15,106,4,0
9,208,26781,7,329,430,7,88,3,0
8,173,13736,7,360,356,12,40,3,0
6,170,29534,6,,380,18,76,3,0
,224,15894,8,304,360,15,48,4,0
9,160,23683,4,360,491,9,67,3,0
7,217,23027,10,382,369,19,60,4,0
3,156,55335,9,371,486,17,70,3,0
,199,20063,10,345,413,10,43,5,0
,192,21763,7,332,397,18,46,4,1
8,217,22316,8,385,288,14,69,4,1
,173,28894,4,244,560,21,51,3,1
7,168,22826,6,272,437,16,65,6,1
6,241,6343,10,421,354,12,83,4,1
,226,9661,9,398,316,17,17,4,1
7,204,21163,5,251,335,13,80,3,1
8,148,48410,5,268,393,12,,3,1
8,210,18626,7,,456,14,86,3,1
7,204,20216,6,305,544,12,73,5,1
8,215,11460,11,399,321,12,58,4,1
9,178,23349,8,353,413,12,109,4,1
5,231,14971,9,410,449,11,66,4,1
8,195,27337,8,322,348,11,64,3,1
8,168,21361,6,,419,12,60,2,1
,190,23095,6,298,415,13,51,3,1
8,194,13770,9,344,510,14,99,4,1
7,198,27025,7,360,448,13,49,3,1
6,241,7999,8,,477,15,69,4,1
7,199,17435,7,,455,15,81,4,1
5,232,13978,9,389,526,17,74,3,1
,200,19947,7,337,296,14,30,4,1
,205,17538,8,396,319,14,94,3,1
9,194,21289,7,,393,14,61,6,1
8,218,22825,9,364,521,15,74,4,1
4,208,21810,6,327,265,11,47,5,1
,142,45142,6,240,369,21,70,5,1
8,180,17038,6,348,590,12,82,4,1
6,187,37118,5,253,531,11,77,4,1
7,155,31161,3,245,506,17,73,4,1
,213,12037,10,349,284,12,75,4,1
9,168,40032,8,,355,14,103,4,1
7,183,14733,7,336,483,9,83,4,1
8,230,17077,10,,523,14,69,4,1
8,212,21671,8,361,457,21,43,4,1
8,163,22014,6,308,352,20,79,5,1
7,164,44587,3,219,554,17,68,6,1
7,239,7986,10,420,373,19,43,4,1
8,145,36186,5,298,605,20,,3,1
,215,19692,6,326,386,16,78,3,1
5,203,28699,5,324,509,14,65,5,1
6,227,11931,10,,351,14,71,4,1
7,198,22389,7,369,408,6,105,4,1
9,157,22113,8,305,481,16,83,4,1
7,168,40588,3,265,300,16,72,3,1
9,185,31041,9,,408,18,72,4,1
,213,21687,7,,384,12,57,3,1
,178,34384,6,312,570,18,69,4,1
8,192,17106,8,333,433,13,54,5,1
5,185,18126,4,275,528,11,80,4,1
7,203,25489,8,414,405,13,74,3,1
9,158,20475,6,285,477,14,73,4,1
6,223,13464,9,378,338,14,43,3,1
6,193,19452,4,256,365,15,9,2,1
8,183,33744,6,370,327,14,83,3,1
9,149,35022,6,,387,12,49,4,1
5,205,18543,5,307,382,11,67,3,1
10,156,23336,8,,357,11,75,4,1
5,233,17818,7,,404,13,55,3,1
5,225,16960,7,323,354,16,80,4,1
8,165,25507,8,358,398,15,,4,1
,259,2808,10,393,354,14,64,4,1
7,188,26609,9,405,462,18,41,4,1
8,180,32161,8,360,345,11,60,3,1
8,222,14830,7,366,583,18,60,4,1
7,208,11889,8,,369,10,62,6,1
,189,27716,6,275,521,13,,4,1
9,152,28302,4,248,468,15,80,3,1
8,135,33662,4,,397,14,56,4,1
6,223,18526,9,395,517,16,55,5,1
,196,28415,7,319,494,15,47,4,1
9,164,39499,7,326,346,13,62,4,1
5,208,15990,6,350,404,11,85,3,1
6,147,34865,4,285,475,21,54,5,1
6,208,19458,7,,362,16,82,4,1
7,202,17063,8,361,492,10,60,4,1
8,170,36267,6,301,405,12,80,5,1
8,182,34592,6,287,285,14,75,3,1
7,206,13216,8,,537,16,79,4,1
,177,24793,6,312,377,10,50,5,1
6,224,13289,8,369,375,20,105,4,1
4,227,7323,7,327,413,13,69,2,1
7,186,21990,8,,426,15,90,4,1
6,185,33360,6,375,510,18,103,4,1
,181,23615,5,282,511,14,52,4,1
11,163,38037,8,350,478,14,,3,1
5,190,29259,5,300,332,11,116,4,1
,205,24590,8,,441,13,118,4,1
10,167,34536,6,344,492,19,45,4,1
8,192,29314,6,306,547,13,96,3,1
8,201,15695,7,,520,13,79,2,1
8,156,32833,3,257,277,18,63,3,1
11,169,43534,6,341,336,16,59,3,1
6,197,12933,6,281,445,14,68,4,1
10,185,26453,10,392,456,16,47,4,1
4,218,16929,6,,411,14,60,5,1
6,184,19393,5,290,503,20,68,3,1
,182,30430,6,350,480,17,59,5,1
5,219,14608,6,,473,11,73,5,1
,178,37861,4,,535,18,64,5,1
7,182,26880,5,285,476,15,61,5,1
6,189,24857,4,296,355,8,80,5,1
,212,23572,5,301,450,7,66,3,1
6,210,11682,7,312,376,12,63,5,1
9,166,18074,8,,535,8,60,4,1
9,161,40799,5,306,499,16,76,4,1
8,224,11551,9,367,452,15,80,2,1
5,197,19378,5,296,348,19,76,4,1
7,177,34511,5,296,478,17,63,4,1
5,213,18295,6,,318,14,50,3,1
,195,17382,7,329,384,11,91,4,1
10,161,30249,5,258,413,12,76,4,1
4,239,10102,8,338,509,14,50,5,1
7,188,20567,7,360,657,16,85,4,1
7,202,24161,8,370,347,17,61,3,1
6,215,13087,8,335,283,15,55,6,1
9,123,56351,4,220,481,14,42,4,1
8,164,19583,6,335,547,18,46,5,1
8,228,18768,10,,329,8,67,5,1
7,179,27567,6,227,392,15,83,5,1
6,212,19418,8,,394,18,49,3,1
6,172,40682,4,303,486,19,65,4,1
7,252,5517,11,,339,12,77,4,1
7,159,23154,4,277,437,11,88,2,1
7,193,14599,6,314,344,17,53,3,1
6,196,16136,6,302,337,12,44,4,1
,213,14102,9,389,337,9,75,4,1
6,223,18062,10,422,323,14,52,4,1
8,196,17445,5,,517,15,86,5,1
7,192,25422,8,,502,11,68,3,1
8,211,14034,10,389,491,15,36,4,1
9,200,19471,7,320,325,16,75,3,1
7,179,25612,7,319,299,12,94,5,1
9,181,17431,7,,289,14,55,4,1
6,197,22543,6,338,411,11,60,4,1
4,256,8747,9,,432,16,,4,1
,135,30212,5,234,392,19,,4,1
,222,10117,8,356,508,14,41,3,1
8,156,30579,3,,345,14,77,5,1
8,177,33337,5,287,290,6,76,5,1
8,187,15171,8,,407,21,88,3,1
6,178,30606,6,261,472,17,47,4,1
,226,15380,7,,393,14,50,5,1
7,179,19863,8,338,365,17,88,4,1
,224,20134,8,359,477,11,49,4,1
8,156,27008,5,,456,8,53,3,1
7,194,20339,6,308,413,16,58,5,1
6,193,31620,7,,516,13,100,3,1
6,205,25973,8,384,457,14,33,5,1
8,175,34585,7,,544,12,71,5,1
5,212,22781,5,317,483,14,77,4,1
,165,32768,6,286,527,16,60,3,1
8,206,15662,7,336,556,15,73,3,1
8,185,23073,6,298,518,12,80,4,1
5,198,13493,7,329,591,14,61,4,1
8,220,12760,8,360,351,16,84,3,1
5,233,13581,7,356,439,10,55,5,1
11,185,32151,9,,566,14,85,4,1
,186,18085,5,298,348,16,76,3,1
7,177,15737,7,277,402,11,58,4,1
8,212,32071,8,290,353,18,78,4,0
3,152,30205,6,304,377,14,46,5,0
9,195,9497,6,346,563,14,74,3,0
5,193,34184,6,283,380,16,80,4,0
9,175,9898,6,336,411,10,,5,0
8,187,22440,7,343,321,20,,3,0
7,178,12692,7,,447,14,61,5,0
5,180,27046,7,311,409,10,79,4,0
7,201,23720,9,353,458,13,80,4,0
7,210,32602,7,341,340,17,42,4,0
,192,12886,7,329,597,13,51,2,0
6,193,17546,9,366,539,14,67,5,0
9,217,18337,8,311,391,17,40,4,0
4,172,13122,5,291,414,12,76,2,0
4,158,20385,5,300,432,13,,4,0
7,185,22575,7,,505,19,66,4,0
,172,14785,7,352,367,11,58,3,0
8,211,34808,9,,595,17,72,3,0
,193,17389,8,382,469,16,68,4,0
9,185,10418,7,388,371,10,68,4,0
5,193,22005,6,268,351,16,69,4,0
6,241,43959,7,306,545,21,90,4,0
8,199,13909,9,406,424,15,97,4,0
,196,18129,8,324,313,19,68,4,0
7,177,28141,7,,456,16,40,4,0
6,208,26855,7,304,418,18,35,5,0
7,186,19621,8,369,475,12,105,4,0
6,165,11950,7,302,538,14,70,5,0
8,198,20139,7,,603,14,85,3,0
,164,9345,6,349,367,14,89,5,0
9,208,16446,7,373,346,12,81,3,0
6,193,18743,7,327,449,14,56,4,0
7,177,15323,6,369,436,22,105,4,0
6,226,24700,7,298,430,15,71,4,0
9,198,15889,5,312,465,19,40,4,0
6,182,17589,7,351,346,16,,5,0
,199,39928,5,259,258,14,53,4,0
7,213,23130,6,305,624,17,74,4,0
7,169,12763,7,,566,12,66,4,0
4,191,26895,6,,660,18,78,4,0
6,179,17420,5,,474,16,79,5,0
,247,43846,8,324,334,17,54,4,0
8,214,35478,8,347,569,17,63,4,0
7,199,26240,5,,437,9,87,4,0
6,217,34007,7,331,430,16,65,5,0
,176,17092,7,323,492,12,52,4,0
5,207,20417,7,356,525,10,70,4,0
7,213,38713,6,262,332,14,70,5,0
6,180,13826,7,347,423,12,78,4,0
7,205,21885,7,305,442,16,66,3,0
7,196,16610,7,323,305,13,86,4,0
7,160,19045,7,284,394,18,67,3,0
7,197,16011,7,,264,14,45,5,0
7,180,13580,6,318,422,12,63,4,0
5,192,34794,6,,396,13,55,3,0
8,177,13238,7,,451,21,85,4,0
7,151,11389,7,371,431,8,74,4,0
,206,18752,8,345,510,5,62,3,0
6,206,32912,6,298,415,12,79,2,0
5,157,19273,6,332,341,16,75,4,0
7,210,40290,7,294,341,18,84,1,0
6,162,20849,7,,388,15,84,4,0
,179,5075,9,455,392,17,76,4,0
7,181,15823,8,,458,9,38,4,0
7,187,30939,8,,331,14,87,3,0
8,180,12136,6,310,667,18,67,3,0
4,169,16074,5,261,449,11,87,4,0
4,199,25635,6,260,301,12,56,5,0
9,203,20479,7,337,508,19,,4,0
10,210,18185,8,,387,17,66,3,0
7,192,25525,7,323,549,15,64,4,0
3,152,16319,6,313,413,10,69,4,0
8,242,44897,8,,576,15,51,2,0
12,217,11318,8,376,348,10,74,4,0
7,199,14037,6,,479,11,61,5,0
5,193,14982,6,,344,11,88,3,0
8,230,18453,7,338,465,10,84,5,0
5,157,10489,7,,312,11,49,5,0
8,179,18610,8,,462,14,65,4,0
,174,26553,6,293,367,13,72,3,0
8,179,27559,8,315,359,13,52,3,0
8,190,17448,7,,449,15,55,4,0
7,188,13457,7,331,351,17,78,4,0
,194,14937,7,309,447,12,,4,0
4,158,24352,6,287,433,11,44,4,0
7,196,21496,7,364,336,11,66,3,0
9,196,9050,7,396,379,18,114,4,0
7,195,15719,7,339,442,23,75,3,0
7,223,41552,8,271,464,13,61,3,0
,221,27980,7,350,356,10,82,3,0
7,219,33934,9,361,439,19,72,3,0
,226,32617,7,259,356,11,66,3,0
7,241,19500,8,384,377,13,56,6,0
8,197,19025,7,393,338,11,77,3,0
9,175,6494,7,409,404,16,52,3,0
7,173,10324,7,377,539,10,37,3,0
8,203,24470,8,322,517,17,81,4,0
6,155,9713,5,,386,17,66,4,0
7,225,23110,6,321,460,14,77,4,0
,190,19888,8,416,547,13,71,5,0
8,207,25838,9,347,472,12,,3,0
6,184,14807,6,385,462,15,34,4,0
5,212,45167,7,280,486,20,71,4,0
,153,11399,9,401,385,12,59,5,0
6,183,21294,7,307,435,11,69,4,0
7,182,24723,6,,414,18,78,4,0
8,199,18267,7,397,377,11,87,3,0
7,188,19156,6,345,434,21,26,4,0
6,164,21544,6,,454,13,56,3,0
,215,36112,7,,414,16,72,2,0
6,175,11306,7,,544,17,89,4,0
,194,41461,7,240,363,14,59,5,0
8,201,24913,8,389,416,13,52,4,0
3,202,48204,6,262,430,11,80,6,0
6,187,18679,5,313,336,18,60,4,0
9,235,20934,8,365,444,12,54,4,0
6,171,17732,6,343,466,14,59,4,0
6,159,18711,7,314,500,15,68,3,0
7,201,16516,8,358,336,21,61,4,0
8,210,16843,9,360,559,17,69,5,0
9,197,17700,9,380,487,18,61,4,0
9,184,12996,6,382,490,18,93,4,0
